,Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
1254,12/07/1951,,Loide Aereo Nacional,,Natal - Recife - Maceió - Aracaju,Douglas DC-3,PP-LPG,14822/26267,33,28,5,33,28,5,0,Crashed during a landing attempt in adverse weather conditions under VFR and hit high ground. The pilot attempted a visual approach and made a turn at low altitude in adverse weather conditions.,"Aracaju, Brazil",-10.9162061,-37.0774655,POINT (-10.9162061 -37.0774655)
1255,12/07/1951,,Indamer,,Calcutta - Tezpur,Douglas C-47B,VT-CHT,20662,3,0,3,3,0,3,0,The cargo plane hit the slope of a mountain.,"Tezpur, India",26.61695705,92.76500717,POINT (26.61695705 92.7650071736503)
1256,16/07/1951,9:07,Qantas,,Wau - Bulolo - Lae,de Havilland DHA-3 Drover II,VH-EBQ,5003,7,5,2,7,5,2,0,Crashed into the Huon Gulf after the center propeller failed.,"Lae, New Guinea",-6.67028775,146.9966624,POINT (-6.67028775 146.996662387848)
1257,20/07/1951,,Air Outre-Mer,,Pakse - Saigon,Douglas C-47A,F-OABX,19634,3,0,3,3,0,3,0,The cargo plane crashed in a field while attempting to land..,"Thudamot, China",25.700575,-99.236105,POINT (25.700575 -99.23610500000001)
1258,21/07/1951,22:55,Canadian Pacific Air Lines,,Vancouver - Tokyo,Douglas C-54A,CF-CPC,10327,37,31,6,37,31,6,0,"Disappeared with no trace over the Pacific Ocean while flying from Vancouver to Tokyo. The last message was received while the aircraft was near Yakutat, Alaska with no reports of probems. Cause undetermined.","Sitka, Alaska",57.0524973,-135.3376124,POINT (57.0524973 -135.3376124)
1259,24/07/1951,5:45,Sabena,,Brussels - Gao - Léopoldville,Douglas DC-3,OO-CBA,6327,3,0,3,3,0,3,0,The failure of the right engine during takeoff. A rupture of the hydraulic circuit with oil projection in the cockpit would have increased maneuver difficulties by restricting visibility in the cockpit,"Gao, Mali",16.2788129,-0.0412392,POINT (16.2788129 -0.0412392)
1260,29/07/1951,,Loide Aéreo Nacional,,Cochabamba - Rio de Janeiro,Curtiss C-46A,CB-39,26488,7,4,3,7,4,3,0,Hit a tree while taking off and crashed.,"Cochabamba, Bolivia",-17.3935853,-66.1569588,POINT (-17.3935853 -66.1569588)
1261,8/08/1951,21:00,Trans Australia Airlines,,Hobart Melbourne,,VH-TAT,13083,2,0,2,2,0,2,0,Cargo plane. Loss of lateral control during a turn at low altitude soon after takeoff. The probable cause of the loss of lateral control was the presence of ice on the aircraft surface.,"Barilla Bay, Australia",-42.8212941,147.4830623,POINT (-42.8212941 147.4830623)
1262,11/08/1951,9:25,Air France,,Training,Douglas DC-3D,F-BAXB,42971,5,0,5,5,0,5,0,"Abnormal flight maneuver made when the crew experienced difficulty in resuming normal flight on the two engines. Overspeed, reduction of pitch or difficulty in restarting the engine may have created a dangerous situation and caused the aircraft to stall in dissymmetrical flight, thus subjecting the airframe to stresses accompanied by buffeting which was either alternating or exceeded the design limits of the structure and caused the tail-plane to break off.","Moisville, France",48.8395577,1.1652725,POINT (48.83955770000001 1.1652725)
1263,17/08/1951,,REAL,,,Douglas DC-3,PP-YPX,9154,10,,,10,,,0,,"Ubatuba, Brazil",-23.433162,-45.083415,POINT (-23.433162 -45.083415)
1264,24/08/1951,4:28,United Air Lines,615,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas DC-6B,N37550,43260/180,50,44,6,50,44,6,0,"Cleared for an approach to Oakland Municipal Airport, the aircraft crashed 15 miles SSE of the airport into Tolman peak. Patches of fog obscured the terrain. The aircraft struck a hill at an elevation of about 1,000 ft. at 225 to 240 mph. Neither of its 2 low-frequency receivers were tuned to the Oakland station and the captain may have attempted to fly by visual reference using the ADF.  As a result, the flight was 3 miles off course and well below the minimum prescribed altitude. The failure of the captain to adhere to instrument procedures in the Newark area during an approach to the Oakland Municipal  Airport.","Decoto, California",37.5916014,-121.9977387,POINT (37.59160139999999 -121.9977387)
1265,8/09/1951,19:00,VASP,,Sao Paulo - Rio de Janeiro,Douglas DC-3,PP-SPQ,1559/27036,13,9,4,13,9,4,3,Crashed into a houses shortly after taking off from Congonhas Airport. Failure of several instruments.,"Sao Paulo, Brazil",-23.5506507,-46.6333824,POINT (-23.5506507 -46.6333824)
1266,12/09/1951,12:30,Societe Alpes Provence,,Perpignan - Oran,Douglas DC-3,F-BEIZ,15985/32733,39,36,3,39,36,3,0,Crashed into the Mediterranean due to structural failure following loss of control in severe weather.,"Ialas Baeares, Spain",-19.93333,47.53333,POINT (-19.93333 47.53333)
1267,12/09/1951,11:46,United Air Lines,,San Francisco - Oakland - San Francisco,Boeing 377 Stratocruiser 10-34,N31230,15970,3,0,3,3,0,3,0,"The aircraft, with the No. 4 propeller feathered, stalled and dived into San Francisco Bay. An inadvertent stall at a low altitude from which recovery was not effected.","Redwood City, California",37.4863239,-122.2325233,POINT (37.4863239 -122.2325233)
1268,15/09/1951,,Air India,,Bangalore - Trivandrum,Douglas C-47A-30-DK Dakota III,VT-CCA,13853/25298,28,24,4,22,21,1,0,Lost control and crashed when attempting to take off. Attempted to take off  with the autopilot engaged.,"Bangalore, India",12.9791198,77.5912997,POINT (12.9791198 77.59129969999999)
1269,27/09/1951,,Military - US Air Force,,Ashiya - Tachikawa AB,"	Fairchild C-119C-15-FA Flying Boxcar","	49-169","	10406",14,0,14,14,0,14,0,"Crashed into the slope of Mt Tanazawa, 28 km northwest of the airbase while operating with the 314th Troop Carrier Wing.",Tachikawa Air Base,13.955394,121.129322,POINT (13.955394 121.129322)
1270,29/09/1951,,Frigorifico Cooperativo Los Andes,,,Curtiss C-46D-15-CU,CB-43,33346,27,24,3,27,24,3,0,Crashed shortly after takeoff from La Paz-El Alto Airport.,"La Paz, Bolivia",-16.4955455,-68.1336229,POINT (-16.4955455 -68.13362290000001)
1271,8/10/1951,,Aero Transportes,,Mexico City - Minatitlán - Villahermosa,Douglas DC-3,XA-GOR,14007/25452,8,5,3,8,5,3,0,"While en route, the aircraft hit the slope of the Cerro Blanco.","Cerro Blanco, Mexico",20.25951105,-97.16831653,POINT (20.25951105 -97.16831652840372)
1272,15/10/1951,,Military - U.S. Air Force,,Azores - Westover AFB,Boeing C-97A Stratofreighter,49-2602,16224,12,9,3,12,9,3,0,Went missing en route. No trace of the aircraft was ever found.,North Atlantic,47.55012725,-52.71857746,POINT (47.55012725 -52.7185774581903)
1273,15/10/1951,,South African Airways,,Port Elizabeth - Durbin,Douglas DC-3,ZS-AVJ,6891,17,13,4,17,13,4,0,"While en route in clouds, the airplane crashed on Mt Ingeli  about 17 km southeast of Kokstad.","East Griqualand, South Africa",-33.283419,26.562327,POINT (-33.283419 26.562327)
1274,17/10/1951,18:55,Queen Charlotte Airlines,,Kildala - Vancouver,Consolidated PBY-5A Catalina,CF-FOQ,400,23,20,3,23,20,3,0,"While flying VFR in adverse weather conditions, the pilot mistook Nanaimo for Vancouver.  The plane crashed into Mt. Benson, 20 miles west of Vancouver.","Mt. Benson, BC, Canada",49.1494689,-124.0498368,POINT (49.1494689 -124.0498368)
1275,22/10/1951,,JAT Yugoslav Airlines,,Belgrad - Skopje,Douglas DC-3,YU-ACC,13014,12,9,3,12,9,3,0,Crashed while en route.,"Skopje, Yugoslavia",42,21.41667,POINT (42 21.41667)
1276,27/10/1951,19:00,Military - Guatemalan Air Force,,Flores - Guatemala City,Douglas C-47,FAGO961,,29,25,4,27,23,4,0,Crashed and burned in jungle 170 miles north northeast of Guatemala City.  It is theorized a passenger may have started a fire in the aircraft's cabin with a cigarette.,"Flores, Guatemala",16.9298524,-89.8914817,POINT (16.9298524 -89.8914817)
1277,5/11/1951,9:29,Transocean Air Lines,CAM5763,Oakland - Albuquerque,Martin 202,N93039,9160,29,26,3,1,1,0,0,"Crashed while attempting to land at Albuquerque in marginal weather conditions. The captain's attempt to land during less than minimum visibility, rather than proceed to his alternate.  A military contract flight.","Tucumcari, New Mexico",35.1719425,-103.7250405,POINT (35.1719425 -103.7250405)
1278,13/11/1951,13:00,Military - U. S. Air Force,,Frankfort - Bordeaux,Fairchild C-82 Packet,45-57801A,10171,36,32,4,36,32,4,0,"While cruising in marginal weather conditions, the aircraft hit the slope of Mt. Dore, about 32 km southwest of Clermont-Ferrand.Flew into Mt. Dore.","Puy-de-Dôme, France",45.7715343,3.083993421,POINT (45.7715343 3.08399342067179)
1279,15/11/1951,9:00,LOT Polish Airlines,,Lodz - Krakow,Lisunov Li-2P,SP-KLA,"	18438505",18,14,4,18,14,4,0,Shortly after taking off the aircraft flew into high voltage cable and crashed.,"Lodz, Poland",51.7687323,19.4569911,POINT (51.7687323 19.4569911)
1280,17/11/1951,16:23,Aeroflot,,Novosibirsk - Moscow,Ilyushin IL-12,CCCP-L1775,93013112,23,19,4,23,19,4,0,The plane crashed shortly after taking off due to icing.,"Novosibirsk, Russia",55.0282171,82.9234509,POINT (55.0282171 82.92345090000001)
1281,19/11/1951,,Devlet Hava Yollari,,Ankara - Cairo,Douglas DC-3,TC-ACA,7352,5,4,1,5,4,1,0,Crashed into a sand dune while attempting to land in poor weather condtions.,"Cairo, Egypt",30.048819,31.243666,POINT (30.048819 31.243666)
1282,21/11/1951,7:45,Deccan Airways,,Nagpur - Calcutta,Douglas DC-3,VT-AUO,13265,17,13,4,16,12,4,0,The aircraft struck trees in fog during a missed approach 3 miles north of Dum Dum airport as the crew descended too low in poor visibility.,"Calcutta, India",22.5677459,88.3476023,POINT (22.5677459 88.34760229999998)
1283,24/11/1951,6:00,El Al,,Tel Aviv - Rome - Zurich - Amsterdam,Douglas DC-4,4X-AND,10512,7,0,7,6,0,6,0,The cargo plane crashed on approach when flying too low in poor visibility,"Zurich, Switzerland",47.3723941,8.5423328,POINT (47.3723941 8.542332800000001)
1284,27/11/1951,,Lineas Aereas Unidas,,San Luis Acatlán - Acapulco,DC-2-243,XA-DOQ,2077,21,18,3,13,11,2,0,"Shortly after taking and while in an initial climb, the plane hit an obstacle and crashed.","San Luis Acatlan, Mexico",16.87008545,-98.72220741,POINT (16.87008545 -98.7222074114467)
1285,4/12/1951,7:25,United Air Lines,,Training,Douglas DC-3A,N17109,4999,3,0,3,3,0,3,0,"Stalled, entered a spin and crashed. An inadvertent spin at an altitude too low for recovery.","Denver, Colorado",39.7392364,-104.9848623,POINT (39.7392364 -104.9848623)
1286,13/12/1951,,Qantas,,Mount Hagen - Madang,de Havilland DH-84 Dragon,VH-UR,,3,2,1,3,2,1,0,"While flying in a narrow valley, the pilot elected to gain height when the aircraft hit trees and crashed in flames. Pilot error.","Wabag, Papua New Guinea",-5.333333,143.65,POINT (-5.333333000000001 143.65)
1287,16/12/1951,15:09,Miami Airlines,,Fort Smith - Newark - Tampa,Curtiss Wright C-46F,N1678M,22572,56,52,4,56,52,4,1,"Shortly after taking off from Newark Airport the control tower noticed smoke emanating from the right engine.  Minutes later the aircraft gradually descended, its left wing dropped and the aircraft struck the roof of a vacant building. Hold-down studs in the number 10 cylinder of the right engine failed due to improper installtion of their nuts. Fire erupted at the base of the failed cylinder. Extension of the landing gear and loss of the right engine led to the aircraft stalling at the height of about 200 ft. The aircraft was also overloaded by 117 pounds. A stall with the landing gear extended following a serious loss of power from the right engine. This loss of power was caused by the failure of the hold-down studs of the No. 10 cylinder, precipitating a fire in flight which became uncontrollable.","Elizabeth, New Jersey",40.6639916,-74.2107006,POINT (40.6639916 -74.2107006)
1288,23/12/1951,,Misrair,,Cairo - Baghdad - Tehran,SNCASE Languedoc,SU-AHH,41,22,18,4,22,18,4,0,Crashed at Mehrabad airport during a third landing attempt. The pilot attempted to land despite warnings of poor visibility and snow.,"Tehran, Iran",35.7006177,51.4013785,POINT (35.7006177 51.4013785)
1289,27/12/1951,4:26,Aeroflot,,Yakutsk - Vilyuisk, Lisunov LI-2,L4228,18421601,20,14,6,20,14,6,0,Crashed after running out of fuel. Fuel starvaion. Crew switched to the wrong fuel tank.,"Namtso, Russia",40.232044,-84.408822,POINT (40.232044 -84.408822)
1290,29/12/1951,22:25,Continental Charters,44-2,Miami - Pittsburgh - Buffalo,Curtiss C-46A-50-CU,N3944C,30466,40,36,4,26,23,3,0,"Proceeding at a low altitude to maintain reference with the ground in nearly zero ceiling and visibility , the plane drifted off course and crashed into a hill 15 miles east of the direct route. Flying VFR under IFR conditions. The captain's poor judgement in attempting a flight by visual reference during instrument weather conditions.","Little Valley, New York",42.252563,-78.80559,POINT (42.252563 -78.80559000000002)
1291,30/12/1951,22:07,Transocean Air Lines,501,Point Barrow - Umiat - Fairbanks,Curtiss C 46F-CU,N68963,22485,4,2,2,4,2,2,0,"The flight made an authorized left turn while outbound on the east leg of the Fairbanks radio range and subsequently struck Chena Dome, northeast of the station while on a westerly heading. The failure of the pilot to follow procedures and utilize properly the radio facilities for approach and letdown at Fairbanks with the result that the flight became lost.","Fairbanks, Alaska",64.837845,-147.716675,POINT (64.837845 -147.716675)
1292,30/12/1951,15:40,Military - U.S. Air Force,,New York - Williams AFB,Douglas C-47D,47-76266,15850/32598,28,24,4,28,24,4,0,"Crashed into a mountainside at an altitude of 7,000 ft., 66 miles northeast of Williams AFB.","Phoenix, Arizona",33.4484367,-112.0741417,POINT (33.44843669999999 -112.0741417)
1293,31/12/1951,,Kalinga Airlines,,,Douglas C-47A,VT-COA,13859/25304,3,0,3,3,0,3,0,The cargo plane crashed on takeoff after hitting trees.,"Calcutta, India",22.5677459,88.3476023,POINT (22.5677459 88.34760229999998)
1294,2/01/1952,,Air France,,,Junkers JU-52/3m,F-BAMQ,106,11,8,3,6,,,0,,"Andapa, Madagascar",-14.662207,49.651725,POINT (-14.662207 49.651725)
1295,10/01/1952,19:15,Aer Lingus,,Northolt - Dublin,Douglas DC-3,EI-AFL,16699/33447,23,20,3,23,20,3,0,The aircraft lost control in severe turbulence and downdrafts and crashed in a soft peat bog 1 mile east of Llyn Gwynant.  The encountering of strong down-currents of air on the lee side of Snowdon which forced the aircraft down into an area of strong turbulence where control was lost.,"Com Edno, Ireland",-20.806831,-40.645947,POINT (-20.806831 -40.645947)
1296,19/01/1952,1:38,Northwest Orient Airlines,324,Tokyo - Elmendorf AFB,Douglas DC-4,N45342,27279,43,40,3,36,33,3,0,"The crew chose to divert to Sandpit after the No. 1 engine was shut down. The aircraft crashed into the Pacific Ocean one mile offshore after overshooting the runway during the emergency landing. A nose gear retraction difficulty in connection with an icing condition or a power loss, which made the aircraft incapable of maintaining flight. Most of the fatalities were from exposure to the frigid water.","Sandspit, BC, Canada",53.2435323,-131.8281487,POINT (53.2435323 -131.8281487)
1297,22/01/1952,15:43,American Airlines,6780,Buffalo - Newark,Convair CV-240-0,N94229,54,23,20,3,23,20,3,7,"The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown.","Elizabeth, New Jersey",40.6639916,-74.2107006,POINT (40.6639916 -74.2107006)
1298,4/02/1952,,Sabena,,Costermansville - Leopoldville,Douglas DC-3,OO-CBN,13450,15,11,4,15,11,4,0,In-flight failure of a propeller which damaged control cables causing loss of control of the aircraft. The control cables in the fuselage were sheared by the right propeller which broke loose following a shaft failure caused by the sudden stopping of the engine caused by fatigue failure of No. 6 piston lug.,"Kikwit, Belgian Congo",-5.0383083,18.8178447,POINT (-5.0383083 18.8178447)
1299,7/02/1952,,Military - U.S. Air Force,,,Boeing B-29,,,13,,13,13,,13,5,The military plane crashed into several houses in a snowstorm after taking from Yokota AFB and hitting  power lines.,"Kaneko, Japan",35.8110037,139.3285178,POINT (35.8110037 139.3285178)
1300,11/02/1952,0:20,National Airlines,101,"Newark, NJ - Miami, FL",Douglas DC-6,N90891,43055/37,63,59,4,29,26,3,4,"The aircraft crashed into an apartment complex shortly after taking off. The last message from the pilot was ""I've lost an engine and am returning to field.""   Reversal in flight of No. 3 propeller and subsequent feathering of No. 4 propeller at too low an altitude to effect a recovery.","Elizabeth, New Jersey",40.6639916,-74.2107006,POINT (40.6639916 -74.2107006)
1301,16/02/1952,17:34,Hunting Air Travel,,Nice - Malta,Vickers 614 Viking 1,G-AHPI,142,31,26,5,31,26,5,0,Hit the north slope of La Cinta mountain range while en route.  Pilot did not maintain a safe altitude. The pilots ignorance of wind conditions which allowed the aircraft to drift 3 degrees off course.,"Burgio, Italy",37.599442,13.29015,POINT (37.599442 13.29015)
1302,19/02/1952,,STAAP,,,Consolidated  32 Liberator II,F-BEFX,12,9,5,4,9,5,4,0,,"Yaounde, Cameroon",3.8689867,11.5213344,POINT (3.8689867 11.5213344)
1303,19/02/1952,2:23,Deccan Airways,,Madras - Nagpur - Delhi,Douglas DC-3,VT-AXE,19160,16,12,4,3,1,2,0,"Banked left and struck trees 2,000 ft. short of the runway. Pilot error. The pilot misjudged the approach, undershot and hit the tops trees. A contributing factor was the setting of the pilot's altimeter to QNH, rather than the customary QFE during the final approach.","Nagpur, India",21.1498134,79.0820556,POINT (21.1498134 79.0820556)
1304,28/02/1952,,Panair do Brasil,,Rio de Janeiro - Guiana,Douglas DC-3A,PP-PCN,3284,8,6,2,8,6,2,0,The right wing struck trees after attempting a go-around. Pilot error.,"Uberlandia, Brazil",-18.9188041,-48.2767837,POINT (-18.91880410000001 -48.2767837)
1305,3/03/1952,8:10,Air France,,Nice - Paris,SNCASE Languedoc,F-BCUM,43,38,34,4,38,34,4,0,"After taking off, the plane was observed turning to the left until it turned on its back and crashed. Malfunction of ailerons. The gear chain of the co-pilot's control column slipped off the sprocket and jammed the aileron controls.","Nice, France",43.7009358,7.2683912,POINT (43.7009358 7.2683912)
1306,10/03/1952,,Philippine Air Lines,,Cebu - Hoilo,Douglas C-47A-35-DL,PI-C5,9754,3,0,3,3,0,3,0,"While taking off, the cargo plane, carrying a light load of freight, lost altitude and crashed into a house.","Cebu, Philippines",10.45,123.84,POINT (10.45 123.84)
1307,12/03/1952,,Military - U.S. Air Force / U.S. Air Force,,Training,Boeing B-29 / Boeing B-29,,,15,0,15,15,0,15,,"While on a training mission and flying blind on instruments the planes collided. One plane struck the ground and disintegrated. The other glided down several miles away, exploded and burned. Both planes crashed on ranches several miles apart about 18 miles from San Antonio . Six killed on one plane and seven on the other.","Sequin, Texas",27.6023567,-99.4833733,POINT (27.6023567 -99.4833733)
1308,22/03/1952,14:00,Maritime Central Airways,,St. Johns - Goose Bay,Douglas C-47-DL,CF-BXZ,4695,4,3,1,4,3,1,0,"The cargo plane disappeared en route. Found on August 27, 1953.","Gaspe, Quebec, Canada",48.6580556,-65.7527778,POINT (48.6580556 -65.75277779999999)
1309,22/03/1952,10:45,KLM Royal Dutch Airlines,,Rome - Frankfort,Douglas DC-6,PH-TPJ,43111/102,47,37,10,45,36,9,0,"Crashed and burst into flames two miles short of the runway in rain and fog during the approach. Cause unknown. The aircraft was named ""Koningin Juliana.""","Frankfurt, Germany",50.1106444,8.6820917,POINT (50.1106444 8.682091699999999)
1310,24/03/1952,3:10,Société Aérienne de Tr. Tropicaux,,"Gao, FWA - Nice, France",Lockheed 18 Lodestar,F-ARTE,2005,21,18,3,17,14,3,0,Crashed after taking off. Pilot failed to maintain altitude after taking off for reasons unknown. May have been pilot fatigue.,"Gao, French West Africa",16.27167,-0.04472,POINT (16.27167 -0.04472)
1311,26/03/1952,,Aeroflot,,,,,,70,,,70,,,0,The plane overshot the runway and collided with a military aircraft killing at least 70 people.,"Moscow, Russia",55.7504461,37.6174943,POINT (55.7504461 37.6174943)
1312,29/03/1952,,TACA,,Maiquetia - San Felipe,Douglas DC-3,YV-C-AZU,,12,9,3,12,9,3,0,Crashed into the summit on Cerro Grande Mountain.,"San Felipe, Venezuela",10.3394796,-68.7417033,POINT (10.3394796 -68.7417033)
1313,30/03/1952,,Philippine Air Lines,,,Douglas DC-3,PI-C270,13808,29,26,3,10,8,2,0,Crashed during takeoff. The plane hit an unidentified obstruction on the runway and the wheels collapsed.,"Baguio, Philippines",16.412007,120.5933937,POINT (16.412007 120.5933937)
1314,5/04/1952,8:25,US Airlines,4-Feb,"Raliegh, NC - New York, NY",Curtiss C-46F-1-CU,N1911M,22464,2,0,2,2,0,2,3,Violent engine surges and turbulence during a missed ILS approach caused the crew to loose control of the aircraft and crash at 171st St. and 89th Ave. in Queens. The no.1 engine fuel feed valve diaphragm  failed due to deterioration.,"New York, New York",40.7127281,-74.0060152,POINT (40.7127281 -74.00601519999999)
1315,9/04/1952,8:07,Japan Air Lines,,Tokyo - Osaka,Martin 202,N93043,9164,37,33,4,37,33,4,0,"On an early morning flight, under instrument conditions, the crew flew the route segment from Tokyo to Oshima Island 1,000 ft. below the minimum instrument altitude.  At Oshima Island the aircraft crashed into the side of Mihara volcano.","Mihara Volcano, Japan",34.4,133.08333,POINT (34.4 133.08333)
1316,10/04/1952,,Kalinga Airlines,,,Douglas C-47A,VT-DFN,13628,4,0,4,4,0,4,0,"The cargo plane, carrying a load of tea,  crashed while taking off after losing an engine and attempting an emergency landing.","Agartala, India",23.8312377,91.2823821,POINT (23.8312377 91.28238210000001)
1317,11/04/1952,12:20,Pan American World Airways,526A,San Juan - New York City,Douglas DC-4,N88899,10503,69,64,5,52,52,0,0,"After taking off from Isle Grande Airport the crew had engine problems.The aircraft then crashed into the Atlantic Ocean. The ditching took place in turbulent seas. The tail broke off on impact and the aircraft stayed afloat for only 3 minutes and sank.  The company's inadequate maintenance in not changing the No. 3 engine which resulted in its failure immediately subsequent to takeoff and the persistent action of the captain in attempting to re-establish a climb, without using all available power, following the critical loss of power to another engine. This resulted in a nose-high attitude, progressive loss of air speed and the settling of the aircraft at too low an altitude to effect recovery. The aircraft was named Clipper Endeavor.","North of San Juan, Puerto Rico",18.464349,-66.116253,POINT (18.464349 -66.116253)
1318,18/04/1952,3:34,North Continental Airlines (Robin Airlines),416W,"Kansas City, MO - Phoenix - Burbank",Curtiss C-46F-1CU,N8404C,22466,29,26,3,29,26,3,0,"The plane was on a flight from New York City to Burbank, California. Due to poor visibility and fog, the flight was diverted to Los Angeles Airport for an ILS approach. While on approach, the plane crashed into the Puente Hills and burned. The pilot voluntarily descended below the minimum altitude for which he was cleared and attempted an approach at too low an altitude to clear the terrain. The pilot in command was flying with a restricted medical certificate. An emergency suspension was placed on the airline and it was discovered the airline had allegations of more than 40 violations listed against it including charges of overweight planes, excessive flying time for crews and failure to use approved seats and safety belts.","Whittier, California",33.9708782,-118.0308396,POINT (33.9708782 -118.0308396)
1319,29/04/1952,4:40,Pan American World Airways,202,Rio de Janeiro - New York City,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50,41,9,50,41,9,0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named ""Clipper Good Hope.""","Carolina, Brazil",-7.3313437,-47.4738762,POINT (-7.331343700000001 -47.47387620000001)
1320,30/04/1952,,Deccan Airways,,Madras - Delhi,Douglas DC-3,VT-AUN,13405,9,5,4,9,5,4,0,Lost an engine while on approach and crashed. Fuel starvation caused when the plane banked to make a turn and the tank being used had very little fuel in it.,"Delhi, India",28.6517178,77.2219388,POINT (28.6517178 77.22193879999998)
1321,5/05/1952,,Fred Olsen Flyveselskap,,"Amsterdam, Netherlands - Jarsberg, Norway",Douglas C-47A,LN-NAD,12148,29,26,3,11,8,3,0,"Crashed on a mountain slope while en route. There were mainly whaling crews aboard, returning from the antarctic. Crew navigational error.","Skien, Norway",59.2662883,9.531135448,POINT (59.26628829999999 9.531135447537473)
1322,9/05/1952,,Garuda Indonesia Airlines,,,Douglas DC-3,PK-DPA,42954,17,,,17,,,0,Crashed shortly after taking off.,"Ipoh, Malaysia",4.5986817,101.0900236,POINT (4.5986817 101.0900236)
1323,13/05/1952,,VASP,,Sao Paulo - Bauru,Douglas DC-3,PP-SPM,16894/34151,22,19,3,5,3,2,0,Crashed while attempting to make an emergency landing after experiencing an engine failure. Failure of the port engine due to accessory drive failure. Failure of the starboard engine due to seizure as a result of deficient maintenance. Error on the part of the crew in lowering the landing gear in emergency conditions.,"Sao Paulo, Brazil",-23.5506507,-46.6333824,POINT (-23.5506507 -46.6333824)
1324,24/05/1952,,Loide Aéreo Nacional,,,Curtiss C-46A,PP-LDE,446,6,0,6,6,0,6,0,"The cargo plane lost an engine while taking off, stalled and crashed. Failure of maintenance staff to remove the flying control locks.  Failure of one engine for reason undetermined.","Manaus, Brazil",-3.1316333,-59.9825041,POINT (-3.1316333 -59.9825041)
1325,26/05/1952,8:45,British Overseas Airways,251,Tripoli - Kano,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18,10,8,1,0,1,0,"The crew became lost in the desert, ran out of fuel and made a forced landing.  Survivors had to be led by a rescue team 15 miles to an oasis before they could be evacuated.  The co-pilot died 5 days later from head injuries suffered in the accident. Navagational errors by the crew. Improper adjustment of the parameters of the  gyroscopic compass CL2 Gyrosyn by the navigator.  Absence of radio assistance and incorrect use of the compasses. Captain's decision  to use the gyroscopic compass in the place of the magnetic compass which was inoperative. The aircraft was named ""Horus.""","Atar, Mauritania",20.5182772,-13.0543754,POINT (20.5182772 -13.0543754)
1326,13/06/1952,11:29,Swedish Air Force,,Radio surveillance mission,Douglas DC-3,79001,9001,8,5,3,8,5,3,0,"Shot down by  a Mig-15 Russian Air Force fighter over the Baltic Sea in international waters while on a radio surveillance mission. Wreckage found 06/17/2003, recovered 03/19/2004.",Baltic Sea,56,18,POINT (56 18)
1327,14/06/1952,9:49,Morton Air Services,,Croydon - Le Mans,Airspeed AS-65 Consul,G-AHFT,2593,8,7,1,6,5,1,,Ditched into the English Channel after losing the starboard engine possible due to carborateur icing.,"Brighton, East Sussex, England",50.78357855,0.121486661,POINT (50.78357855 0.121486661177474)
1328,24/06/1952,,Military - U.S. Air Force,,,Boeing B-50 Superfortress,,,11,,,11,,,0,"After taking off from Larkenhealth AFB, the plane dropped out of a fortress of 10 aircraft and crashed and burned in the countryside between two farms.","Lakenheath AFB, England",52.413033,0.52002,POINT (52.413033 0.5200199999999999)
1329,25/06/1952,,Military - Royal Air Force,,"Scrampton RAF Station, England",Avro Shackleton MR-1,VP261,,13,11,2,11,9,2,0,Crashed into the North Sea near Holy Island while participating in North Atlantic Treaty maneuvers.,"Northumberland, North Sea",55.1853665,-1.5109345,POINT (55.1853665 -1.5109345)
1330,18/07/1952,0:00,Military - Navy,,Corpus Christi - Norfork,Fairchild packet (C119 flying boxcar),,,46,40,6,41,37,4,0,"The Marine cargo plane, carrying ROTC students taking part in summer training crashed while taking off after a refueling stop.","Whiting Field, near Milton, Florida",30.625632,-87.06049,POINT (30.625632 -87.06049)
1331,27/07/1952,11:46,Pan American World Airways,201,Rio de Janeiro - Buenos Aires,Boeing 377 Stratocruiser,N1030V,15939,27,19,8,1,1,0,0,A woman was sucked out of the plane . The flight engineer's failure to recognize an unsafe condition of the cabin door despite three completely separate warnings of that condition and the captain's action in continuing flight while pressurized despite the several warnings that the main cabin door was not properly locked.,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,POINT (-22.9110137 -43.2093727)
1332,12/08/1952,,Transportes Areos Nacionales,,Rio Verde - Goiania,Douglas DC-3,PP-ANH,20187,24,20,4,24,20,4,0,Exploded in midair. A bomb exploded aboard.,"Palmeira de Goias, Brazil",-16.7664684,-49.0991538,POINT (-16.7664684 -49.0991538)
1333,21/08/1952,1:00,Airwork,,Blackbushe - Malta - Khartoum,Handley Page HP-81 Hermes 4A,G-ALDF,HP-81/7,57,51,6,7,1,6,0,After failure of all four engines the plane ditched into the Mediterranean Sea. The initial failure of the No. 1 and 2 engines for reasons unknown.,"Trapani, Italy",38.0174321,12.515992,POINT (38.0174321 12.515992)
